date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:43:35	2369/2369	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Aug%202012%2008:42:47%20GMT	http://quaker.vpixle.com/robots.txt		(from )
10:43:35	2369/2369	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Aug%202012%2008:42:47%20GMT	http://quaker.vpixle.com/	C:/wamp/www/whtt/quaker/index-2.html	(from )
10:43:56	2369/2369	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Aug%202012%2008:43:09%20GMT	http://quaker.vpixle.com/apple-touch-icon.png	C:/wamp/www/whtt/quaker/apple-touch-icon.0.delayed	(from )
10:43:57	2369/2369	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Aug%202012%2008:43:09%20GMT	http://quaker.vpixle.com/apple-touch-start.png	C:/wamp/www/whtt/quaker/apple-touch-start.1.delayed	(from )
10:44:07	75788/75788	---M--	200	added ('OK')	text/css	etag:%22142196-1280c-4c6bf9e326a80%22	http://quaker.vpixle.com/jQM/themes/quaker.css	C:/wamp/www/whtt/quaker/jQM/themes/quaker.css	(from )
10:44:10	71489/71489	---M--	200	added ('OK')	text/css	etag:%221431b1-11741-4c720cce0ad40%22	http://quaker.vpixle.com/jQM/css/jquery.mobile-1.2.0-alpha.1.min.css	C:/wamp/www/whtt/quaker/jQM/css/jquery.mobile-1.2.0-alpha.1.min.css	(from )
10:44:10	1642/1642	---M--	200	added ('OK')	text/css	etag:%22b82434-66a-4c7130a013540%22	http://quaker.vpixle.com/jQM/css/custom.css	C:/wamp/www/whtt/quaker/jQM/css/custom.css	(from )
10:44:18	1843/1843	---M--	200	added ('OK')	application/javascript	etag:%22b640cd-733-4c6afb3fb2600%22	http://quaker.vpixle.com/jQM/js/mobileinit.js	C:/wamp/www/whtt/quaker/jQM/js/mobileinit.js	(from )
10:44:22	94840/94840	---M--	200	added ('OK')	application/javascript	etag:%22143246-17278-4c720d0ee4640%22	http://quaker.vpixle.com/jQM/js/jquery-1.7.2.min.js	C:/wamp/www/whtt/quaker/jQM/js/jquery-1.7.2.min.js	(from )
10:44:22	852/852	---M--	200	added ('OK')	application/javascript	etag:%22b640ba-354-4c6afb3fb2600%22	http://quaker.vpixle.com/jQM/js/ios-orientationchange-fix.min.js	C:/wamp/www/whtt/quaker/jQM/js/ios-orientationchange-fix.min.js	(from )
10:44:23	706/706	---M--	200	added ('OK')	application/javascript	etag:%22b640d2-2c2-4c6ea6c367dc0%22	http://quaker.vpixle.com/jQM/js/application.js	C:/wamp/www/whtt/quaker/jQM/js/application.js	(from )
10:44:33	112811/112811	---M--	200	added ('OK')	application/javascript	etag:%221431b0-1b8ab-4c720c87786c0%22	http://quaker.vpixle.com/jQM/js/jquery.mobile-1.2.0-alpha.1.min.js	C:/wamp/www/whtt/quaker/jQM/js/jquery.mobile-1.2.0-alpha.1.min.js	(from )
10:44:35	2693/2693	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Aug%202012%2008:43:46%20GMT	http://quaker.vpixle.com/maintenance/	C:/wamp/www/whtt/quaker/maintenance/index.html	(from http://quaker.vpixle.com/)
10:44:35	67177/67177	---M--	200	added ('OK')	image/png	etag:%22d600fd-10669-4c6eec0159a80%22	http://quaker.vpixle.com/images/quakerLOGO.png	C:/wamp/www/whtt/quaker/images/quakerLOGO.png	(from )
10:44:35	2591/2591	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Aug%202012%2008:43:48%20GMT	http://quaker.vpixle.com/site-setup/	C:/wamp/www/whtt/quaker/site-setup/index.html	(from http://quaker.vpixle.com/)
10:44:36	7574/7574	---MC-	200	added ('OK')	text/html	date:Mon,%2013%20Aug%202012%2008:43:48%20GMT	http://quaker.vpixle.com/maintenance/machine-a.html	C:/wamp/www/whtt/quaker/maintenance/machine-a.html	(from http://quaker.vpixle.com/)
